Time,Participant,Condition,Item,Response.orig,Response,RT
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,41,Yes.,1,7791
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,46,No.,0,5640
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,36,No.,0,12674
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,24,No.,0,6598
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,49,Yes.,1,5444
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,22,Yes.,1,10091
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,25,Yes.,1,5843
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,9,Yes.,1,3349
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,54,No.,0,4280
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,2,Yes.,1,3879
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,6,No.,0,4013
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,31,Yes.,1,4472
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,10,Yes.,1,5880
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,30,Yes.,1,7515
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,11,No.,0,10999
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,20,Yes.,1,4023
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,3,No.,0,4971
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,53,Yes.,1,3311
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,15,No.,0,3338
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,38,Yes.,1,4024
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,58,Yes.,1,4807
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,13,Yes.,1,4711
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,52,Yes.,1,3548
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,42,No.,0,4874
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,17,Yes.,1,20174
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,59,Yes.,1,8441
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,32,Yes.,1,6290
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,40,Yes.,1,4314
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,14,No.,0,5699
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,33,Yes.,1,3877
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,29,No.,0,12024
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,21,No.,0,3376
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,45,No.,0,4930
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,8,Yes.,1,6916
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,5,No.,0,3484
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,43,Yes.,1,7590
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,27,Yes.,1,11509
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,56,No.,0,6746
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,26,No.,0,6549
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,47,Yes.,1,7250
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,44,Yes.,1,12236
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,4,No.,0,12965
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,18,Yes.,1,3225
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,28,Yes.,1,17762
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,50,Yes.,1,2285
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,39,Yes.,1,5281
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,34,No.,0,4544
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,48,No.,0,12896
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,57,No.,0,7361
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,51,Yes.,1,3947
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,16,No.,0,3654
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,35,No.,0,4580
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,55,No.,0,5238
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,60,Yes.,1,3207
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,12,Yes.,1,3655
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,37,No.,0,2558
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,23,Yes.,1,4923
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,19,Yes.,1,2360
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,7,Yes.,1,2877
1615676656,5ec31f5d0fae82da249e5b0d0b117886,Eonly,1,Yes.,1,2839
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,40,No.,0,4948
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,31,No.,0,7511
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,56,No.,0,4065
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,25,Yes.,1,6946
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,42,No.,0,3298
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,39,No.,0,15448
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,51,Yes.,1,6566
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,33,Yes.,1,3882
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,59,Yes.,1,3779
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,2,Yes.,1,5395
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,48,Yes.,1,5100
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,20,Yes.,1,5218
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,45,Yes.,1,1838
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,15,Yes.,1,2140
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,13,Yes.,1,2358
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,55,Yes.,1,2779
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,60,Yes.,1,1729
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,54,Yes.,1,4106
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,8,Yes.,1,1625
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,28,Yes.,1,2486
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,52,Yes.,1,2190
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,21,Yes.,1,1564
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,16,Yes.,1,1572
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,12,Yes.,1,1987
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,47,Yes.,1,2199
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,50,Yes.,1,2192
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,32,Yes.,1,1467
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,29,Yes.,1,2902
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,46,No.,0,5270
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,44,Yes.,1,2018
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,11,Yes.,1,4498
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,37,Yes.,1,2199
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,27,Yes.,1,2799
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,35,Yes.,1,2039
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,26,Yes.,1,2859
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,57,Yes.,1,2133
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,1,Yes.,1,1605
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,49,Yes.,1,5486
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,36,Yes.,1,3402
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,30,Yes.,1,3450
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,58,Yes.,1,1900
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,17,Yes.,1,2060
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,7,Yes.,1,2509
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,6,Yes.,1,1320
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,14,Yes.,1,1491
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,10,Yes.,1,1426
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,19,Yes.,1,1654
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,9,Yes.,1,1724
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,38,Yes.,1,2847
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,41,Yes.,1,1952
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,23,Yes.,1,1504
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,4,Yes.,1,3587
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,22,Yes.,1,2864
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,3,Yes.,1,3049
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,5,Yes.,1,1708
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,34,No.,0,4085
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,43,Yes.,1,2234
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,53,Yes.,1,1408
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,18,Yes.,1,1711
1615677577,8f93daa18ff079b5a90f780e0847ea82,Eonly,24,Yes.,1,4129
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,14,No.,0,5579
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,59,Yes.,1,8154
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,46,No.,0,5931
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,19,No.,0,11197
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,37,No.,0,6648
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,24,No.,0,5922
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,57,No.,0,8019
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,36,No.,0,7451
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,16,No.,0,8446
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,30,No.,0,5230
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,44,No.,0,6587
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,10,No.,0,4002
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,41,No.,0,7159
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,52,No.,0,7682
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,49,No.,0,6254
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,1,No.,0,4278
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,23,No.,0,8266
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,33,Yes.,1,4762
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,51,No.,0,5897
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,18,No.,0,4536
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,53,No.,0,3403
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,35,No.,0,4787
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,45,No.,0,3824
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,11,No.,0,5154
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,21,No.,0,3339
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,12,No.,0,3590
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,43,No.,0,5403
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,5,No.,0,5053
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,15,Yes.,1,5556
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,25,Yes.,1,5561
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,9,Yes.,1,10129
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,40,Yes.,1,3818
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,50,No.,0,3626
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,32,Yes.,1,4205
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,8,Yes.,1,5557
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,17,Yes.,1,6597
1615677921,3777fb55fcaa169271547dc4be4e0031,Eonly,2,No.,0,3813
