experiment,condition,item_id,N,sum_response,response_rate,human_log_response_rate,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,prompt_text,context_text,suffix_text,weaker_target_surface,stronger_target_surface,weaker_word_logprob,stronger_word_logprob,weaker_candidate_plus_suffix_logprob,stronger_candidate_plus_suffix_logprob,word_logprob_stronger_minus_weaker,candidate_plus_suffix_logprob_stronger_minus_weaker,weaker_word_n_tokens,stronger_word_n_tokens,weaker_candidate_plus_suffix_n_tokens,stronger_candidate_plus_suffix_n_tokens,model_name
experiment_1,ESI,1,40,33,0.8250000000,-0.1923718926,allowed,allowed,obligatory,obligatory,Drinking is ,Drinking is,.,allowed,obligatory,-5.5144853592,-10.2097978592,-9.3221974373,-12.6784250736,-4.6953125000,-3.3562276363,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,2,40,2,0.0500000000,-2.9957322736,attractive,attractive,stunning,stunning,This model is ,This model is,.,attractive,stunning,-9.6062021255,-7.8640146255,-13.5785331726,-9.3722161055,1.7421875000,4.2063170671,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,3,40,8,0.2000000000,-1.6094379124,begin,began,complete,completed,John ,John, the race.,began,completed,-7.6056766510,-8.0431766510,-24.2737193108,-19.7879321575,-0.4375000000,4.4857871533,1,1,4,4,Qwen/Qwen2-7B
experiment_1,ESI,4,40,25,0.6250000000,-0.4700036292,believe,believes,know,knows,The teacher ,The teacher, it is true.,believes,knows,-8.6164674759,-6.8039674759,-23.9123291373,-19.3822146654,1.8125000000,4.5301144719,1,1,5,5,Qwen/Qwen2-7B
experiment_1,ESI,5,40,2,0.0500000000,-2.9957322736,big,big,enormous,enormous,The elephant is ,The elephant is,.,big,enormous,-4.6215872765,-8.7465877533,-6.8011002541,-10.5810335875,-4.1250004768,-3.7799333334,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,6,40,17,0.4250000000,-0.8556661101,cool,cool,cold,cold,The weather is ,The weather is,.,cool,cold,-5.2573347092,-4.0073347092,-8.0858974457,-6.6298205853,1.2500000000,1.4560768604,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,7,40,15,0.3750000000,-0.9808292530,damage,damage,destroy,destroy,The machine might ,The machine might, itself.,damage,destroy,-7.5887079239,-7.8543329239,-15.1473805904,-13.5433440208,-0.2656250000,1.6040365696,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,8,40,11,0.2750000000,-1.2909841813,dark,dark,black,black,The sky is ,The sky is,.,dark,black,-3.9008283615,-5.1508283615,-6.1959798336,-7.2538244724,-1.2500000000,-1.0578446388,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,9,40,28,0.7000000000,-0.3566749439,difficult,difficult,impossible,impossible,The task is ,The task is,.,difficult,impossible,-10.1617650986,-11.8492650986,-12.9621951580,-14.3073186874,-1.6875000000,-1.3451235294,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,10,40,3,0.0750000000,-2.5902671654,dirty,dirty,filthy,filthy,Zack's carpet was ,Zack's carpet was,.,dirty,filthy,-5.0720615387,-9.7595615387,-5.2046061456,-10.0855756104,-4.6875000000,-4.8809694648,1,1,2,2,Qwen/Qwen2-7B
