dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,human_si_rate_original,human_si_rate_source_column,source_file,has_hu_test_suite,notes
g18,Gotzner et al. (2018),g18_046,adequate/good,adequate,good,adequate,good,adj,default,"It is adequate, but not good.",0.44,0.44,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_005,ajar/open,ajar,open,ajar,open,adj,default,"It is ajar, but not open.",0.11,0.11,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_062,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"It is allowed, but not obligatory.",0.73,0.73,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_052,annoyed/angry,annoyed,angry,annoyed,angry,adj,default,"She is annoyed, but not angry.",0.51,0.51,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_001,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"He is attractive, but not stunning.",0.08,0.08,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_049,bent/twisted,bent,twisted,bent,twisted,adj,default,"It is bent, but not twisted.",0.46,0.46,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_006,big/enormous,big,enormous,big,enormous,adj,default,"She is big, but not enormous.",0.14,0.14,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_023,calm/unflappable,calm,unflappable,calm,unflappable,adj,default,"She is calm, but not unflappable.",0.25,0.25,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_065,cheap/free,cheap,free,cheap,free,adj,default,"It is cheap, but not free.",0.76,0.76,si_rate,cross-scale/human_data/g18.csv,True,
g18,Gotzner et al. (2018),g18_036,chubby/fat,chubby,fat,chubby,fat,adj,default,"She is chubby, but not fat.",0.32,0.32,si_rate,cross-scale/human_data/g18.csv,True,
